1,85
2,26
3,2
4,574
5,308
6,239
7,99
8,35
9,107
10,356
11,80
12,121
13,218
14,165
15,83
16,165
17,175
18,158
19,93
20,31
21,32
22,70
23,37
24,38
25,42
26,36
27,33
28,24
29,25
30,18
31,23
32,34
33,56
34,74
35,59
36,45
37,38
38,39
39,24
40,25
41,37
42,26
43,31
44,36
45,33
46,32
47,19
48,29
49,18
50,18
51,39
52,27
53,36
54,23
55,28
56,23
57,21
58,16
59,17
60,9
61,7
62,14
63,6
64,4
65,3
66,1
67,2
68,1
69,1
70,3
71,1
72,2
73,1
74,1
75,3
76,7
77,4
78,3
79,1
80,1
82,1
83,4
84,1
85,3
86,1
88,2
90,1
92,1
93,1
